dataset,method,recall@10,recall@20,ndcg@10,ndcg@20
baby,paper,0.0564,0.0883,0.0301,0.0383
baby,restored,0.0530 ± 0.0014,0.0835 ± 0.0015,0.0283 ± 0.0007,0.0361 ± 0.0007
baby,adapter,0.0531 ± 0.0019 (+0.21%),0.0841 ± 0.0022 (+0.61%),0.0284 ± 0.0011 (+0.46%),0.0363 ± 0.0011 (+0.64%)
clothing,restored,0.0412 ± 0.0011,0.0617 ± 0.0011,0.0224 ± 0.0006,0.0276 ± 0.0006
clothing,adapter,0.0442 ± 0.0007 (+7.53%),0.0661 ± 0.0009 (+7.21%),0.0242 ± 0.0006 (+7.81%),0.0297 ± 0.0006 (+7.64%)
electronics,paper,0.0437,0.0648,0.0247,0.0302
electronics,restored,0.0434 ± 0.0005,0.0637 ± 0.0004,0.0245 ± 0.0003,0.0297 ± 0.0003
electronics,adapter,0.0456 ± 0.0003 (+5.11%),0.0667 ± 0.0005 (+4.79%),0.0258 ± 0.0002 (+5.18%),0.0312 ± 0.0002 (+5.04%)
sports,paper,0.0656,0.0980,0.0355,0.0438
sports,restored,0.0636 ± 0.0010,0.0964 ± 0.0015,0.0346 ± 0.0005,0.0430 ± 0.0006
sports,adapter,0.0675 ± 0.0009 (+6.13%),0.1019 ± 0.0009 (+5.66%),0.0370 ± 0.0005 (+7.14%),0.0459 ± 0.0005 (+6.62%)
