dataset,config_id,num_seeds,recall@10_mean,recall@20_mean,ndcg@10_mean,ndcg@20_mean,recall@10_std,recall@20_std,ndcg@10_std,ndcg@20_std,recall@10_mean_pm,recall@20_mean_pm,ndcg@10_mean_pm,ndcg@20_mean_pm
baby,1,10,0.052390000000000006,0.08270999999999999,0.02804,0.035809999999999995,0.0015580971300489168,0.0013067772062087203,0.0010189319026422828,0.0008812238963825009,0.0524 ± 0.0016,0.0827 ± 0.0013,0.0280 ± 0.0010,0.0358 ± 0.0009
baby,2,10,0.05313,0.08406,0.02839,0.03633,0.0019356595201062035,0.002175724655782018,0.0010681760154581264,0.001122546707763696,0.0531 ± 0.0019,0.0841 ± 0.0022,0.0284 ± 0.0011,0.0363 ± 0.0011
baby,3,10,0.05229999999999999,0.08279,0.02776,0.03559,0.001762573875520305,0.0026417376436311366,0.000980022675474626,0.001221520000291076,0.0523 ± 0.0018,0.0828 ± 0.0026,0.0278 ± 0.0010,0.0356 ± 0.0012
clothing,1,10,0.043989999999999994,0.06543999999999998,0.02404,0.02948,0.0007964504588066563,0.001278193169195401,0.0005358275012642699,0.0006596295256514159,0.0440 ± 0.0008,0.0654 ± 0.0013,0.0240 ± 0.0005,0.0295 ± 0.0007
clothing,2,10,0.04425,0.06614,0.02417,0.02973,0.0006900080514828141,0.0008643558937793533,0.0005735852159879998,0.0005850925852660699,0.0442 ± 0.0007,0.0661 ± 0.0009,0.0242 ± 0.0006,0.0297 ± 0.0006
clothing,3,10,0.043539999999999995,0.06478,0.023759999999999996,0.02917,0.0008971560003081342,0.0010972693379476175,0.0006818276093624314,0.0007149980574954186,0.0435 ± 0.0009,0.0648 ± 0.0011,0.0238 ± 0.0007,0.0292 ± 0.0007
elec,1,10,0.04564,0.06673,0.025769999999999998,0.03125,0.0002716206504995115,0.00045472824607426643,0.0001702938636592638,0.00019002923751652365,0.0456 ± 0.0003,0.0667 ± 0.0005,0.0258 ± 0.0002,0.0312 ± 0.0002
elec,2,10,0.045610000000000005,0.06671,0.025770000000000005,0.03123,0.00048177911028926063,0.0008033955715862791,0.0003334999583541535,0.00042439499421071346,0.0456 ± 0.0005,0.0667 ± 0.0008,0.0258 ± 0.0003,0.0312 ± 0.0004
elec,3,10,0.045579999999999996,0.06652999999999999,0.025759999999999998,0.031179999999999996,0.0003735713526965839,0.0003622460796505945,0.00023190036174568134,0.00018135294011647224,0.0456 ± 0.0004,0.0665 ± 0.0004,0.0258 ± 0.0002,0.0312 ± 0.0002
sports,1,10,0.06749000000000001,0.10188,0.03704,0.0459,0.0009267026371915513,0.0008978987817244348,0.0005337498373666157,0.0004714045207910326,0.0675 ± 0.0009,0.1019 ± 0.0009,0.0370 ± 0.0005,0.0459 ± 0.0005
sports,2,10,0.06702000000000001,0.10154,0.03668999999999999,0.04557,0.0007375635565834319,0.0009045563676312388,0.0005384133067531753,0.0005538752366533257,0.0670 ± 0.0007,0.1015 ± 0.0009,0.0367 ± 0.0005,0.0456 ± 0.0006
sports,3,10,0.06495,0.09872999999999998,0.035359999999999996,0.04408,0.0022456130071269575,0.0024331278452048317,0.001479639595757472,0.0014942854107863348,0.0649 ± 0.0022,0.0987 ± 0.0024,0.0354 ± 0.0015,0.0441 ± 0.0015
