dataset,metric,delta_percent,p_welch,p_student
baby,recall@10,0.21%,0.8856530746863742,0.8854868348279078
baby,recall@20,0.61%,0.5523486076011053,0.5514783360406335
baby,ndcg@10,0.46%,0.7487353654991395,0.7480244587330056
baby,ndcg@20,0.64%,0.5851926232650014,0.5835993363804546
clothing,recall@10,7.53%,2.3928398294155647e-06,7.482015145432868e-07
clothing,recall@20,7.21%,8.440395436991783e-09,5.692217868193713e-09
clothing,ndcg@10,7.81%,2.4334435684553534e-06,2.430246090521376e-06
clothing,ndcg@20,7.64%,1.852671802777248e-07,1.8449190649014576e-07
electronics,recall@10,5.11%,3.0931311337642334e-09,1.7350129094161133e-10
electronics,recall@20,4.79%,1.073883637018647e-11,1.0647075500354801e-11
electronics,ndcg@10,5.18%,5.089527780054163e-08,2.638510239196307e-09
electronics,ndcg@20,5.04%,3.9073945212985775e-10,5.431476558826814e-11
sports,recall@10,6.13%,5.289652030307369e-08,4.886870670790017e-08
sports,recall@20,5.66%,7.212747055495741e-08,1.1072364898034457e-08
sports,ndcg@10,7.14%,4.515172752763502e-09,4.495694920186733e-09
sports,ndcg@20,6.62%,2.726044533158831e-09,1.1151128979745238e-09
